property_id,property_type,market,acquisition_date,hold_years,acquisition_price,going_in_cap_rate,going_in_noi,current_revenue,current_noi,noi_margin,occupancy_pct,same_property_noi_growth_pct,current_cap_rate,implied_current_value,leverage_pct,debt_balance,interest_rate_pct,interest_coverage,annual_capex,equity_invested,cash_on_cash_pct,irr_pct,equity_multiple,recommendation,cluster,segment,next_year_noi_growth_pct_actual,predicted_next_year_noi_growth_pct,value_captured_pctile,forward_growth_pctile,value_creation_score
P0012,Mixed-Use,Denver,2019-11-08,6.2,34550320.0,0.0605,2089178.0,3862985.0,2628446.0,0.6804,80.6,3.8,0.07,37546875.0,0.5583,19288365.0,5.04,2.71,152220.0,15261955.0,9.86,11.69,1.74,Hold,3,Core Stabilized,2.56,2.19,20.8,40.400000000000006,30.6
P0013,Industrial,Los Angeles,2024-11-24,1.1,15490775.0,0.0543,841628.0,1282626.0,860903.0,0.6712,96.6,2.07,0.0608,14169298.0,0.6086,9427458.0,5.95,1.54,77993.0,6063317.0,3.66,-22.81,0.77,Sell,1,Mature / Harvest Candidate,3.03,3.09,33.800000000000004,53.6,43.7
P0014,Multifamily,Phoenix,2024-07-13,1.5,16027981.0,0.0436,698179.0,1145536.0,744170.0,0.6496,82.1,4.43,0.058,12829596.0,0.5679,9101599.0,6.84,1.2,59340.0,6926383.0,0.9,-48.98,0.51,Sell,1,Mature / Harvest Candidate,1.48,3.14,4.8,54.800000000000004,29.8
P0015,Multifamily,Seattle,2023-03-21,2.8,50847181.0,0.0465,2362391.0,4272738.0,2815384.0,0.6589,95.3,6.5,0.0432,65190436.0,0.5727,29122088.0,6.0,1.61,241035.0,21725092.0,3.81,20.26,1.71,Hold,1,Mature / Harvest Candidate,2.88,4.38,76.0,79.4,77.7
P0016,Multifamily,Los Angeles,2022-12-10,3.1,83133207.0,0.0439,3648708.0,7216704.0,4275469.0,0.5924,98.8,5.31,0.0567,75389810.0,0.6099,50701587.0,7.31,1.15,464494.0,32431620.0,0.32,-10.23,0.72,Sell,0,Value-Add Opportunity,3.85,5.64,9.2,94.19999999999999,51.7
P0017,Multifamily,Miami,2021-08-07,4.4,15902115.0,0.0461,733799.0,1452621.0,841199.0,0.5791,79.0,3.15,0.0514,16370925.0,0.5645,8977231.0,4.94,1.9,55743.0,6924884.0,4.94,5.41,1.22,Hold,3,Core Stabilized,2.04,2.25,40.0,40.8,40.4
P0018,Retail,Los Angeles,2022-01-16,4.0,23851721.0,0.0743,1772704.0,2903581.0,1799730.0,0.6198,90.6,0.38,0.0637,28263217.0,0.5984,14273888.0,6.09,2.07,95108.0,9577833.0,8.72,16.58,1.75,Hold,1,Mature / Harvest Candidate,1.72,1.83,97.6,34.8,66.2
P0019,Multifamily,Miami,2020-05-24,5.6,23113448.0,0.0463,1070236.0,2270230.0,1388224.0,0.6115,100.0,4.75,0.056,24769901.0,0.4874,11266580.0,5.1,2.42,52890.0,11846868.0,6.42,7.77,1.48,Hold,3,Core Stabilized,3.06,5.14,19.8,90.0,54.9
P0020,Multifamily,New York,2018-02-04,7.9,25082571.0,0.0678,1700455.0,3877750.0,2316330.0,0.5973,84.5,3.98,0.0595,38933423.0,0.6349,15925691.0,6.39,2.28,110484.0,9156880.0,12.97,21.24,3.47,Sell,3,Core Stabilized,1.93,2.87,93.8,48.0,70.9
P0021,Industrial,Denver,2023-10-04,2.2,17847383.0,0.061,1087975.0,1883363.0,1233263.0,0.6548,100.0,5.74,0.0595,20744467.0,0.6201,11066883.0,6.81,1.64,195836.0,6780499.0,4.19,20.77,1.45,Hold,1,Mature / Harvest Candidate,6.76,5.67,72.39999999999999,94.8,83.6
P0022,Office,New York,2022-09-26,3.3,29214557.0,0.0791,2311135.0,3470956.0,2317784.0,0.6678,78.9,0.09,0.0918,25245026.0,0.5628,16442063.0,5.76,2.45,242598.0,12772493.0,8.83,-3.24,0.91,Sell,3,Core Stabilized,-0.83,-0.9,10.0,12.2,11.1
P0023,Multifamily,Austin,2022-07-22,3.4,32785840.0,0.0468,1536012.0,2970849.0,1855058.0,0.6244,88.1,5.62,0.0604,30687935.0,0.6661,21840195.0,4.02,2.11,53411.0,10945645.0,8.45,0.2,1.01,Hold,0,Value-Add Opportunity,4.91,4.83,7.199999999999999,86.2,46.7
P0024,Multifamily,Phoenix,2021-03-19,4.8,21120853.0,0.0562,1187031.0,1851317.0,1284585.0,0.6939,92.6,1.66,0.0593,21677234.0,0.6856,14481089.0,6.26,1.42,34343.0,6639764.0,5.18,5.51,1.28,Hold,1,Mature / Harvest Candidate,0.64,2.47,53.0,43.0,48.0
P0025,Multifamily,Seattle,2019-08-23,6.4,36633544.0,0.0485,1778418.0,4658962.0,2622602.0,0.5629,96.9,6.29,0.0606,43305948.0,0.5075,18590454.0,6.45,2.19,254553.0,18043090.0,6.48,10.59,1.71,Hold,3,Core Stabilized,4.42,4.81,12.0,85.6,48.8
P0026,Industrial,Miami,2018-05-04,7.7,23404651.0,0.0587,1374603.0,3041234.0,1856117.0,0.6103,95.5,3.99,0.063,29476903.0,0.5666,13261292.0,6.42,2.18,170143.0,10143359.0,8.22,12.53,2.2,Hold,3,Core Stabilized,3.9,3.92,46.400000000000006,72.6,59.5
P0027,Multifamily,Seattle,2019-07-16,6.5,28396386.0,0.0674,1912795.0,5447893.0,3182435.0,0.5842,96.8,8.19,0.0543,58606514.0,0.5662,16076899.0,7.09,2.79,304960.0,12319487.0,14.11,31.78,4.2,Sell,3,Core Stabilized,4.61,4.95,99.2,88.0,93.6
P0028,Retail,Miami,2018-06-12,7.6,11433983.0,0.0674,770921.0,1494699.0,787218.0,0.5267,81.6,0.28,0.0646,12187515.0,0.5542,6336791.0,5.24,2.37,59640.0,5097192.0,7.76,8.67,1.72,Hold,3,Core Stabilized,1.75,1.32,74.4,28.799999999999997,51.6
P0029,Retail,Chicago,2024-06-26,1.5,13490505.0,0.0749,1010380.0,1801019.0,1109187.0,0.6159,89.2,6.34,0.07,15841957.0,0.6781,9147415.0,6.64,1.83,76527.0,4343089.0,9.78,30.14,1.66,Hold,0,Value-Add Opportunity,3.72,4.66,84.39999999999999,82.19999999999999,83.3
P0030,Office,Los Angeles,2023-08-16,2.4,65651346.0,0.0738,4843818.0,7702556.0,4728697.0,0.6139,66.1,-1.01,0.0846,55876917.0,0.6064,39813088.0,7.05,1.68,397125.0,25838258.0,5.89,-17.16,0.7,Reposition,2,Distressed / Turnaround,-1.53,-1.39,15.6,6.800000000000001,11.2
P0031,Industrial,Austin,2021-09-05,4.3,30830746.0,0.0578,1781711.0,2775031.0,1930512.0,0.6957,94.2,1.87,0.0687,28107258.0,0.6015,18544199.0,4.68,2.23,129643.0,12286547.0,7.6,1.01,1.04,Hold,1,Mature / Harvest Candidate,1.74,3.4,14.6,62.4,38.5
P0032,Multifamily,Denver,2020-10-23,5.2,19628023.0,0.0626,1229201.0,2068770.0,1347887.0,0.6515,86.7,1.79,0.0533,25290377.0,0.4797,9416144.0,6.36,2.25,10344.0,10211879.0,7.24,14.76,1.87,Hold,3,Core Stabilized,5.3,3.52,96.0,63.800000000000004,79.9
P0033,Office,Miami,2022-10-01,3.3,47291409.0,0.0742,3510829.0,5722075.0,3254663.0,0.5688,70.9,-2.3,0.0885,36778834.0,0.6645,31424160.0,5.7,1.82,231195.0,15867248.0,7.77,-21.86,0.52,Reposition,2,Distressed / Turnaround,-1.85,-1.51,6.0,5.6000000000000005,5.8
P0034,Mixed-Use,Seattle,2022-06-18,3.5,55328034.0,0.0759,4197997.0,6599224.0,4703297.0,0.7127,94.7,3.26,0.0702,66992865.0,0.5333,29503780.0,6.03,2.64,184593.0,25824254.0,10.6,18.24,1.82,Sell,1,Mature / Harvest Candidate,1.43,3.82,87.2,70.19999999999999,78.7
P0035,Mixed-Use,Austin,2022-06-13,3.6,16492134.0,0.0692,1142023.0,1895531.0,1290954.0,0.6811,93.6,3.51,0.0682,18936054.0,0.6242,10294312.0,6.38,1.97,91941.0,6197822.0,8.75,15.39,1.68,Hold,1,Mature / Harvest Candidate,4.2,3.82,69.6,70.19999999999999,69.9
P0036,Industrial,Dallas,2021-11-18,4.1,31492012.0,0.0546,1720257.0,2883324.0,1871580.0,0.6491,99.3,2.07,0.0668,28025968.0,0.6394,20136508.0,5.71,1.63,301899.0,11355504.0,3.7,-6.01,0.79,Sell,1,Mature / Harvest Candidate,0.98,3.02,11.600000000000001,52.400000000000006,32.0
P0037,Multifamily,Dallas,2024-08-21,1.4,22975399.0,0.0558,1281900.0,2190950.0,1333578.0,0.6087,85.4,2.94,0.0515,25889999.0,0.7152,16433064.0,5.56,1.46,114695.0,6542334.0,4.67,41.3,1.41,Hold,0,Value-Add Opportunity,3.63,2.98,82.39999999999999,51.0,66.7
P0038,Office,New York,2019-03-29,6.8,59857206.0,0.0838,5018148.0,11332132.0,6482297.0,0.572,73.8,3.86,0.0888,73016578.0,0.5284,31627504.0,6.13,3.34,438887.0,28229701.0,14.54,17.96,2.43,Sell,3,Core Stabilized,-1.19,1.22,41.199999999999996,26.8,34.0
P0039,Industrial,Denver,2023-02-17,2.9,16385950.0,0.0617,1011519.0,2088246.0,1255850.0,0.6014,100.0,7.82,0.057,22020817.0,0.4086,6695859.0,5.23,3.59,132470.0,9690091.0,7.98,22.38,1.78,Hold,3,Core Stabilized,3.99,5.72,82.8,95.6,89.2
P0040,Multifamily,Chicago,2018-12-04,7.1,12978509.0,0.0426,552607.0,1088411.0,734065.0,0.6744,94.0,4.09,0.0487,15067045.0,0.6329,8213702.0,5.23,1.71,59486.0,4764807.0,5.14,9.19,1.73,Hold,1,Mature / Harvest Candidate,4.25,4.28,35.8,78.0,56.9
P0041,Office,Seattle,2019-12-07,6.1,19943261.0,0.0736,1468565.0,1886821.0,1347623.0,0.7142,92.2,-1.4,0.0856,15751918.0,0.746,14878386.0,6.64,1.36,100760.0,5064875.0,5.1,-17.8,0.42,Sell,1,Mature / Harvest Candidate,-0.3,-0.78,12.8,13.600000000000001,13.2
P0042,Retail,Los Angeles,2022-10-10,3.2,18438009.0,0.0665,1226402.0,1893214.0,1319877.0,0.6972,90.8,2.3,0.0709,18628693.0,0.7067,13030625.0,5.18,1.96,108173.0,5407384.0,9.92,8.9,1.26,Hold,1,Mature / Harvest Candidate,2.58,2.92,45.800000000000004,49.6,47.7
P0043,Office,Los Angeles,2021-10-17,4.2,51240167.0,0.0776,3973849.0,6681987.0,3979507.0,0.5956,77.3,0.03,0.0863,46121681.0,0.6347,32520913.0,6.63,1.84,575525.0,18719255.0,6.66,-1.6,0.94,Reposition,2,Distressed / Turnaround,-0.71,-0.66,22.8,14.000000000000002,18.4
P0044,Hospitality,Seattle,2024-10-14,1.2,34993939.0,0.0857,2999822.0,5250346.0,2961296.0,0.564,67.8,-1.06,0.0832,35579530.0,0.5856,20491942.0,6.47,2.23,117514.0,14501997.0,10.47,9.6,1.1,Reposition,2,Distressed / Turnaround,-0.52,-0.06,73.6,16.400000000000002,45.0
P0045,Multifamily,Phoenix,2024-06-13,1.6,44037086.0,0.0531,2336881.0,3864135.0,2422984.0,0.627,93.9,2.36,0.0484,50087804.0,0.6765,29791026.0,4.72,1.72,210490.0,14246060.0,5.66,21.65,1.47,Hold,0,Value-Add Opportunity,0.95,2.6,83.2,45.6,64.4
P0046,Industrial,Chicago,2021-07-29,4.4,10457232.0,0.05,522735.0,954449.0,507364.0,0.5316,93.9,-0.67,0.0597,8503176.0,0.5519,5770842.0,5.56,1.58,25267.0,4686390.0,3.44,-9.67,0.68,Sell,0,Value-Add Opportunity,0.17,1.06,19.8,24.6,22.2
P0047,Multifamily,Austin,2020-05-08,5.7,30959999.0,0.0543,1680545.0,3297305.0,2097609.0,0.6362,98.0,4.0,0.048,43717375.0,0.6533,20227562.0,7.06,1.47,185013.0,10732437.0,4.52,16.65,2.38,Sell,0,Value-Add Opportunity,3.28,3.83,90.8,70.8,80.8
P0048,Retail,Miami,2021-07-31,4.4,9824347.0,0.0717,704047.0,1344950.0,823943.0,0.6126,94.7,3.62,0.074,11128314.0,0.6554,6438709.0,5.32,2.41,35811.0,3385638.0,13.17,19.19,1.85,Sell,0,Value-Add Opportunity,4.54,4.17,55.2,76.8,66.0
P0049,Retail,Phoenix,2020-05-25,5.6,12993558.0,0.0714,927204.0,1624185.0,969148.0,0.5967,82.5,0.79,0.0713,13586871.0,0.6942,9020319.0,5.73,1.88,59531.0,3973239.0,9.89,10.91,1.67,Hold,2,Distressed / Turnaround,1.99,1.4,66.2,29.2,47.7
P0050,Multifamily,Miami,2020-09-29,5.3,32767437.0,0.0585,1916393.0,5047260.0,2726857.0,0.5403,83.7,6.93,0.0482,56609281.0,0.8,26213949.0,6.47,1.61,197339.0,6553487.0,12.72,42.77,5.1,Sell,0,Value-Add Opportunity,3.06,4.04,96.8,74.6,85.7
P0051,Mixed-Use,Miami,2019-04-09,6.7,24714237.0,0.07,1730084.0,2527252.0,1631796.0,0.6457,73.1,-0.86,0.0668,24441563.0,0.6475,16001705.0,6.73,1.52,163049.0,8712532.0,4.5,3.38,1.23,Reposition,2,Distressed / Turnaround,1.1,1.01,75.6,23.599999999999998,49.6
P0052,Industrial,Phoenix,2021-07-25,4.4,19801864.0,0.0608,1203064.0,2013076.0,1194489.0,0.5934,98.6,-0.16,0.057,20959116.0,0.5844,11571665.0,5.9,1.75,127567.0,8230198.0,4.67,6.7,1.28,Hold,0,Value-Add Opportunity,0.92,1.59,78.60000000000001,33.0,55.8
P0053,Mixed-Use,New York,2020-10-05,5.2,62848845.0,0.0646,4058716.0,8338047.0,4681848.0,0.5615,78.3,2.76,0.0693,67581858.0,0.6182,38853772.0,5.62,2.14,167475.0,23995073.0,9.71,11.93,1.63,Hold,3,Core Stabilized,1.69,1.85,43.2,35.199999999999996,39.2
P0054,Hospitality,Dallas,2021-10-23,4.2,41218503.0,0.072,2969143.0,7382090.0,3516731.0,0.4764,54.9,4.12,0.0914,38492352.0,0.4962,20451165.0,7.24,2.38,340305.0,20767337.0,8.17,4.22,1.16,Hold,3,Core Stabilized,3.6,3.18,1.6,55.400000000000006,28.5
P0055,Retail,Miami,2021-03-07,4.8,27336364.0,0.0706,1929338.0,4170777.0,2580144.0,0.6186,90.7,6.21,0.0635,40632623.0,0.5714,15619180.0,7.49,2.21,128495.0,11717183.0,10.94,24.14,2.61,Sell,3,Core Stabilized,5.93,4.99,91.60000000000001,89.0,90.3
P0056,Mixed-Use,Phoenix,2023-09-19,2.3,21600851.0,0.0662,1430973.0,2068367.0,1465671.0,0.7086,100.0,1.05,0.0685,21409121.0,0.5914,12773668.0,6.88,1.67,41016.0,8827183.0,6.18,2.71,1.05,Hold,1,Mature / Harvest Candidate,3.0,0.68,54.800000000000004,22.400000000000002,38.6
P0057,Office,Phoenix,2022-03-03,3.8,58648651.0,0.0796,4670161.0,6952705.0,4888190.0,0.7031,76.0,1.2,0.0874,55954892.0,0.5833,34210568.0,6.17,2.32,282695.0,24438083.0,10.21,6.68,1.25,Hold,1,Mature / Harvest Candidate,-1.08,-0.44,25.2,14.799999999999999,20.0
P0058,Multifamily,Atlanta,2021-04-19,4.7,65793445.0,0.0443,2917249.0,5589912.0,3337989.0,0.5971,98.9,2.9,0.0567,58886259.0,0.6307,41493613.0,5.45,1.48,217058.0,24299832.0,3.53,-3.62,0.84,Sell,0,Value-Add Opportunity,2.88,3.53,10.8,64.8,37.8
P0059,Office,New York,2022-05-10,3.6,13076807.0,0.0715,935170.0,1476412.0,870920.0,0.5899,76.6,-1.93,0.0889,9801830.0,0.5624,7354797.0,5.44,2.18,138095.0,5722011.0,5.82,-12.5,0.63,Reposition,2,Distressed / Turnaround,-1.16,-1.13,2.4,8.799999999999999,5.6
P0060,Multifamily,Denver,2024-01-10,2.0,21483566.0,0.0583,1252898.0,2152942.0,1385286.0,0.6434,92.3,5.21,0.051,27166669.0,0.6985,15005673.0,6.52,1.42,115525.0,6477894.0,4.5,37.86,1.88,Sell,0,Value-Add Opportunity,5.95,5.24,92.80000000000001,90.8,91.8
P0061,Multifamily,Atlanta,2023-03-06,2.8,42703119.0,0.0518,2210427.0,4406820.0,2512243.0,0.5701,99.4,4.63,0.0527,47649146.0,0.62,26476553.0,6.43,1.47,76889.0,16226566.0,4.51,11.81,1.38,Hold,0,Value-Add Opportunity,3.6,5.47,60.6,92.4,76.5
P0062,Multifamily,Atlanta,2023-12-26,2.0,28910742.0,0.0561,1621575.0,2505020.0,1590912.0,0.6351,91.0,-0.94,0.0508,31307377.0,0.6193,17905838.0,7.22,1.23,84431.0,11004903.0,1.94,9.61,1.2,Hold,0,Value-Add Opportunity,0.94,1.15,85.8,25.6,55.7
P0063,Industrial,Seattle,2022-03-07,3.8,28893792.0,0.0582,1680749.0,3329869.0,2192066.0,0.6583,96.9,7.19,0.0643,34089093.0,0.597,17250963.0,6.62,1.92,217866.0,11642830.0,7.15,14.92,1.67,Hold,1,Mature / Harvest Candidate,3.96,4.6,36.4,81.0,58.7
P0064,Multifamily,Dallas,2021-11-13,4.1,23658993.0,0.0522,1234492.0,2346525.0,1598797.0,0.6813,95.3,6.45,0.0541,29560682.0,0.6309,14925592.0,4.9,2.19,203605.0,8733402.0,7.61,19.08,1.91,Sell,1,Mature / Harvest Candidate,3.59,4.66,56.00000000000001,82.19999999999999,69.1
P0065,Multifamily,Phoenix,2021-04-01,4.8,33415865.0,0.0576,1925746.0,3351059.0,2060875.0,0.615,88.3,1.44,0.0616,33453181.0,0.6778,22647833.0,6.94,1.31,44503.0,10768033.0,4.13,3.02,1.15,Hold,0,Value-Add Opportunity,3.65,2.99,47.599999999999994,51.800000000000004,49.7
P0066,Retail,Dallas,2024-10-04,1.2,16652047.0,0.0649,1080780.0,1838445.0,1121114.0,0.6098,94.9,2.99,0.0708,15844483.0,0.5593,9313505.0,5.3,2.27,13607.0,7338542.0,8.36,-6.96,0.93,Sell,3,Core Stabilized,4.61,3.92,37.4,72.6,55.0
P0067,Office,Chicago,2023-07-12,2.5,80685067.0,0.0786,6339968.0,10932895.0,6298450.0,0.5761,74.8,-0.26,0.0852,73954664.0,0.5739,46307730.0,5.79,2.35,901082.0,34377338.0,7.9,-4.31,0.92,Reposition,2,Distressed / Turnaround,-0.81,-1.16,32.800000000000004,8.4,20.6
P0068,Industrial,Seattle,2022-08-17,3.4,27255743.0,0.0552,1505235.0,2984435.0,1726961.0,0.5787,89.7,4.15,0.0539,32013283.0,0.5987,16319081.0,6.3,1.68,157555.0,10936662.0,4.95,15.72,1.52,Hold,0,Value-Add Opportunity,5.24,3.96,71.0,73.2,72.1
P0069,Office,Denver,2024-11-22,1.1,53274821.0,0.0754,4016550.0,6388602.0,3888589.0,0.6087,79.8,-2.88,0.0808,48133581.0,0.5258,28011317.0,7.7,1.8,176544.0,25263504.0,6.16,-18.0,0.82,Sell,2,Distressed / Turnaround,-1.64,-2.23,39.0,4.3999999999999995,21.7
P0070,Mixed-Use,Dallas,2022-12-24,3.0,30927559.0,0.0631,1952920.0,3107695.0,1983854.0,0.6384,79.7,0.52,0.0617,32172278.0,0.5627,17401452.0,8.59,1.33,173076.0,13526108.0,2.34,3.77,1.11,Hold,2,Distressed / Turnaround,0.5,1.2,72.0,26.400000000000002,49.2
P0071,Industrial,Los Angeles,2019-09-04,6.3,18807406.0,0.0593,1115896.0,2076136.0,1382041.0,0.6657,95.2,3.44,0.0611,22630992.0,0.5867,11033638.0,6.59,1.9,10381.0,7773768.0,8.3,13.45,1.93,Hold,1,Mature / Harvest Candidate,3.95,3.24,56.39999999999999,58.4,57.4
P0072,Multifamily,Miami,2018-01-09,8.0,25776335.0,0.0491,1266327.0,3459689.0,2006070.0,0.5798,92.9,5.93,0.056,35800365.0,0.6812,17559026.0,5.95,1.92,155920.0,8217309.0,9.79,17.36,2.92,Sell,0,Value-Add Opportunity,7.14,5.7,29.599999999999998,95.19999999999999,62.4
P0073,Office,Chicago,2021-08-26,4.4,54810872.0,0.0855,4688223.0,6707863.0,4659513.0,0.6946,83.6,-0.14,0.0817,57049270.0,0.6384,34990125.0,6.53,2.04,345833.0,19820746.0,10.24,11.41,1.46,Hold,1,Mature / Harvest Candidate,-0.69,-0.59,79.2,14.399999999999999,46.8
P0074,Industrial,New York,2022-06-18,3.5,19444448.0,0.0526,1023407.0,1846499.0,1119798.0,0.6064,98.3,2.57,0.0636,17612380.0,0.6336,12319055.0,6.81,1.33,117226.0,7125393.0,2.3,-6.11,0.79,Sell,0,Value-Add Opportunity,5.15,3.73,14.000000000000002,67.60000000000001,40.8
P0075,Industrial,Denver,2019-06-06,6.6,27741827.0,0.0569,1577921.0,3609795.0,2234217.0,0.6189,94.8,5.43,0.0581,38476028.0,0.6796,18852315.0,5.84,2.03,89242.0,8889512.0,11.74,20.33,2.94,Sell,0,Value-Add Opportunity,0.87,4.08,59.0,76.0,67.5
P0076,Industrial,Chicago,2018-02-19,7.9,67745242.0,0.0554,3750486.0,4815007.0,2805413.0,0.5826,100.0,-3.62,0.0606,46303741.0,0.6104,41350610.0,7.54,0.9,224927.0,26394632.0,-2.03,-26.74,-0.01,Sell,0,Value-Add Opportunity,0.71,0.31,40.8,18.8,29.8
P0077,Industrial,Miami,2022-06-22,3.5,37099971.0,0.0667,2473895.0,6168861.0,3076954.0,0.4988,100.0,6.37,0.0664,46305575.0,0.6473,24016018.0,6.28,2.04,163422.0,13083952.0,10.73,22.16,2.06,Sell,0,Value-Add Opportunity,5.18,5.74,67.0,96.39999999999999,81.7
P0078,Office,Seattle,2020-09-03,5.3,38231154.0,0.0792,3027117.0,3304984.0,2195178.0,0.6642,79.9,-5.85,0.0916,23968131.0,0.6128,23427075.0,6.5,1.44,165605.0,14804078.0,3.43,-38.97,0.18,Sell,2,Distressed / Turnaround,-4.2,-3.88,11.200000000000001,0.4,5.8
P0079,Multifamily,Miami,2023-12-09,2.1,58343203.0,0.0582,3395053.0,5394819.0,3543545.0,0.6568,93.1,2.09,0.0529,66952972.0,0.6386,37256532.0,6.63,1.43,146162.0,21086671.0,4.39,20.06,1.43,Hold,1,Mature / Harvest Candidate,3.0,3.07,85.8,53.2,69.5
P0080,Office,Atlanta,2020-07-29,5.4,36694424.0,0.0691,2535094.0,3295631.0,1996934.0,0.6059,66.8,-4.3,0.0844,23650481.0,0.5792,21253663.0,6.44,1.46,121404.0,15440761.0,3.29,-25.92,0.29,Reposition,2,Distressed / Turnaround,-5.71,-3.64,4.0,3.2,3.6
P0081,Hospitality,Miami,2024-04-21,1.7,19851328.0,0.0836,1659617.0,2584353.0,1610955.0,0.6233,62.5,-1.74,0.0774,20815329.0,0.4493,8918860.0,6.77,2.67,64825.0,10932468.0,8.62,10.99,1.22,Reposition,3,Core Stabilized,-0.78,-0.03,89.60000000000001,16.8,53.2
P0082,Industrial,Atlanta,2023-01-24,2.9,14498000.0,0.0633,918271.0,1706478.0,1102038.0,0.6458,92.9,6.4,0.0571,19292247.0,0.6106,8852485.0,5.61,2.22,99015.0,5645514.0,8.98,28.77,2.05,Sell,1,Mature / Harvest Candidate,5.57,4.99,89.60000000000001,89.0,89.3
P0083,Multifamily,Seattle,2019-12-21,6.0,12557774.0,0.0525,659204.0,1357303.0,735485.0,0.5419,88.7,1.83,0.0532,13836494.0,0.7196,9036479.0,5.65,1.44,84382.0,3521296.0,3.98,7.87,1.52,Hold,0,Value-Add Opportunity,4.8,3.53,61.199999999999996,64.8,63.0
P0084,Office,Austin,2019-09-06,6.3,37746990.0,0.0844,3185577.0,5155446.0,3060001.0,0.5935,74.7,-0.63,0.0841,36406362.0,0.6848,25850463.0,5.22,2.27,207804.0,11896527.0,12.63,10.4,1.58,Reposition,2,Distressed / Turnaround,-1.64,-1.19,67.60000000000001,7.6,37.6
